"seller_id","seller_city","seller_state","total_orders","total_items_sold","unique_products_sold","total_product_revenue","total_freight_value","total_revenue","average_review_score"
"1099a00e0ee3a50935e6c2447ca090c5","rio de janeiro","RJ",3,3,3,849.70,61.13,910.83,3.67
"10cdd491d1dbea8fb4ead97b19c334ce","santa rita do sapucai","MG",3,3,2,208.90,78.86,287.76,5.00
"10ff823eda2b032e2c93d17a7d294736","pederneiras","SP",9,9,6,1294.97,164.56,1459.53,3.89
"112453736dbe3889cfb74e1aaa0ba0c1","sao paulo","SP",7,14,2,1890.00,264.77,2154.77,4.07
"1127b7f2594683f2510f1c2c834a486b","campinas","SP",114,132,74,6851.33,1821.71,8673.04,4.09
"11305281b50fff20ae8bb473f8e11876","uba","MG",35,40,18,6528.70,1444.51,7973.21,4.35
"113e3a788b935f48aad63e1c41dac1bd","aparecida","SP",39,48,28,847.35,686.60,1533.95,4.40
"116ccb1a1604bc88e4d234a8c23f33de","sao bernardo do campo","SP",61,73,27,2004.89,943.44,2948.33,4.60
"11742f81550ac064cc9a40f67151d9ad","catanduva","SP",2,2,2,781.90,49.11,831.01,5.00
"117cfc326c6d50da67ca858ff5c0c852","sao joao de meriti","RJ",5,5,2,454.60,81.48,536.08,4.60
"11938fcc75f6902fea1d0a6f72b54a57","sao miguel d'oeste","SC",2,2,2,594.98,142.16,737.14,3.00
"119c7f1a00ef43fad0e57604e76a747c","sao paulo","SP",2,2,2,189.80,17.02,206.82,4.50
"119d1aef1b4144adba89163f6cd9f5d4","pedreira","SP",4,4,3,1094.00,204.24,1298.24,4.75
"11bfa66332777660bd0640ee84d47006","ribeirao preto","SP",76,102,40,3925.87,1682.67,5608.54,3.78
"11d4c477d09821164bca4f70a2eae031","ribeirao preto","SP",3,4,2,83.04,57.82,140.86,5.00
"11eac105f3f90a9b87b19c89d91e24f3","sao paulo","SP",5,5,4,802.89,124.94,927.83,3.60
"11fb6f6d341adbe19e81733701704635","sao paulo","SP",3,3,1,1197.00,399.66,1596.66,5.00
"120476eb7a04c149d14772edaf5d9bf2","angra dos reis","RJ",4,6,4,2368.80,150.83,2519.63,3.83
"1284de4ae8aa26997e748c851557cf0e","laranjeiras do sul","SP",3,3,3,1459.97,86.87,1546.84,2.67
"128639473a139ac0f3e5f5ade55873a5","maringa","PR",533,560,66,11908.85,9785.60,21694.45,4.18
"128f9bfbe4c7d5185033914b1de3d39a","atibaia","SP",14,16,9,1277.29,373.20,1650.49,4.75
"12a8eb0f8d1cd3270695bf2a99f55966","sao paulo","SP",2,2,2,397.00,39.67,436.67,3.50
"12b9676b00f60f3b700e83af21824c0e","montenegro","RS",135,135,37,26774.00,3568.69,30342.69,4.52
"12c2ed9cded6138cf0c75f525f565fc7","praia grande","SP",4,4,4,314.96,51.05,366.01,4.25
"13074f016982ff2bd6c58ced8682f000","bento goncalves","RS",14,15,5,2116.00,995.70,3111.70,3.93
"131fcb0a0c9a47bba4474aacff0f14b7","sao paulo","SP",4,4,2,369.80,36.61,406.41,4.00
"1336efc61c316ddf92c899eb817f7cae","assis","SP",74,85,50,4837.31,1517.98,6355.29,3.94
"134285d1f41da5c13a756ee8142c8a4e","sao paulo","SP",3,4,2,1572.70,80.93,1653.63,2.75
"134a288e7de827ec5ec62e3ec9c3a295","sao paulo","SP",9,9,7,877.45,126.55,1004.00,4.78
"134b867a0f7f8bbe6abf10f91874891e","valinhos","SP",1,1,1,789.89,132.95,922.84,4.00
"13511db12ac61e2f89c53b72a944a60b","caxias do sul","RS",6,6,4,798.00,265.97,1063.97,3.50
"1352e06ae67b410cdae0b2a22361167b","rio de janeiro","RJ",4,4,2,696.00,69.22,765.22,2.33
"1354d51653f645349064725ed204e85e","sao paulo","SP",18,20,13,2410.00,284.72,2694.72,3.80
"138dbe45fc62f1e244378131a6801526","sao paulo","SP",49,58,22,1125.56,689.24,1814.80,3.98
"139157dd4daa45c25b0807ffff348363","sao paulo","SP",1,1,1,29.90,7.78,37.68,4.00
"13c2ed7698b3ca92dad49e849219da59","ponta grossa","PR",8,9,7,498.61,154.68,653.29,4.44
"13d058e4eeac2ce8217660b2f8a05812","osasco","SP",23,23,3,3829.77,926.11,4755.88,4.22
"13d95f0f6f73943d4ceffad0fc2cd32c","goiania","GO",1,1,1,249.99,59.33,309.32,3.00
"13dd308f81fea30cc670c656b2b46cc3","santa barbara d'oeste","SP",3,3,2,117.70,33.44,151.14,5.00
"13e85aac53340018b40c2af68001b7e0","pedreira","SP",1,1,1,17.80,14.12,31.92,5.00
"13f57c12a00ed4610db646b913a7f5c6","santos","SP",7,13,6,645.20,175.95,821.15,4.77
"13fa2a6c6b9d0f43cb588d7c82117a12","sao paulo","SP",9,10,4,4528.00,191.44,4719.44,4.00
"141440cad9341e553f8401c574a2aa38","pitanga","PR",11,12,9,1288.20,290.80,1579.00,4.17
"1430239a858e7682bbc43b20758af153","sao paulo","SP",18,23,10,660.79,268.75,929.54,3.96
"1444c08e64d55fb3c25f0f09c07ffcf2","lauro de freitas","BA",1,1,1,2749.00,69.74,2818.74,1.00
"1464afc72f696af775557a821c2e253f","nova friburgo","RJ",29,30,8,1059.36,454.42,1513.78,4.17
"14a08204d03bb6b6bde8029f801ae0eb","sao paulo","SP",28,38,24,2185.40,593.70,2779.10,3.82
"14d7985702e72162bbf13b6beb74ab2b","santo andre","SP",37,38,26,3887.00,554.00,4441.00,4.34
"14ee35374a7876217954b5fa08e50463","sao jose do rio preto","SP",6,6,2,809.00,114.05,923.05,4.33
"14f2b3587172b9db894c9bad8dab520b","ipe","RS",2,2,1,244.00,86.06,330.06,2.50
"152ee17e4c8aaf53dac99f3462e4999b","garuva","SC",6,6,3,308.96,95.97,404.93,4.33
